v1,v2,v3,COUNTRY,C_ALPHAN,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v200,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v211,v212,v213,v214,v215,v216,v217,v218,v219,v220,v221,v222,v223,v224,v225,v226,v227,v228,v229,v230,v231,v232,v233,v234,v235,v236,v237,v238,v239,v240,v241,v242,v243,v244,v245,v246,v247,v248,v249,v250,v251,v252,v253,v254,v255,v256,v257,v258,v259,v260,v261,v262,v263,v264,v265,v266,v267,v268,v269,v270,v271,v272,v273,v274,v275,v276,v277,v278,v279,v280,v281,v282,v283,v284,v285,v286,v287,v288,v289,v290,v291,v292,v293,v294,v295,v296,v297,v298,v299,v300,v301,v302,v303,v304,v305,v306,v307,v308,v309,v310,v311,v312,v313,v314,v315,v316,v317,v318,v319,v320,v321,v322,v323,v324,v325,v326,v327,v328,v329,v330,v331,v332,v333,v334,v335,v336,v337,v338,v339,v340,v341,v342,v343,v344,v345,v346,v347,v348,v349,v350,v351,v352,v353,v354,v355,v356,v357,v358,v359,v360,v361
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35000001,Brazil (BR),BR,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Work full-time,Work part-time,Work full-time,Work full-time,Strongly agree,Strongly disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,We pool all the money,"Always my spouse,partner,PL:the man","Usually me,PL:the woman",About equal o both together,"Always my spouse,partner,PL:the man",About equal o both together,"Always my spouse,partner,PL:the man",6,30,I do much less than my fair share,Never,We decide together,We decide together,We decide together,Spouse has much higher income,Disagree,Strongly agree,Strongly agree,Strongly agree,Several times a month,Never,Never,Once or twice a year,Fairly happy,Fairly satisfied,Fairly satisfied,No,Worked full-time,Worked full-time,Worked part-time,Worked part-time,Worked part-time,Stayed home,Stayed home,Worked part-time,Work full-time,4 persons,2 children,NA,6,5,No formal qualification,NA,Male,60,"Marr,liv as mar",NA,97,No formal qualification,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employed-full time,6,7442,NA,NA,NA,NA,Help family member,NA,NA,480,1000,6,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,Once a week,NA,NA,NA,NA,North East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Other,mixed origin,one-non-swedish",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35000002,Brazil (BR),BR,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Work full-time,Work part-time,Work part-time,Work full-time,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,"Spouse,partner manages money","Always me,PL:the woman","Usually my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman",70,2,I do much more than my fair share,Never,"Sometimes me,sometimes spouse","Mostly my spouse,partner","Mostly my spouse,partner",Spouse has no income,Strongly agree,Strongly disagree,Strongly agree,Disagree,Never,Never,Never,Never,Very unhappy,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,No,Stayed home,Stayed home,Stayed home,Stayed home,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Work full-time,2 persons,2 children,1 child,5,3,Above lowest qualification,70,Female,41,"Marr,liv as mar",NA,11,Higher secondary completed,NA,NA,NA,Secondary completed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Housewife,home duties",NA,NA,NA,NA,NA,NA,"F-t empl,main job","Car, taxi and van drivers",NA,NA,240,5,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,Once a week,NA,NA,NA,NA,North East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Other,mixed origin,one-non-swedish",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35000010,Brazil (BR),BR,Disagree,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Work full-time,Work part-time,Work part-time,Work full-time,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Each keep own money separate,Done by a third person,"Always me,PL:the woman",About equal o both together,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",96,96,I do much less than my fair share,Never,NA,"Sometimes me,sometimes spouse","Sometimes me,sometimes spouse",We have about the same income,Strongly agree,Strongly agree,NA,Strongly disagree,Never,Never,Never,Never,Very happy,NA,Very satisfied,No,NA,NA,NA,NA,NA,NA,NA,NA,Work full-time,2 persons,NA,NA,2,2,No formal qualification,NA,Male,83,"Marr,liv as mar",NA,97,No formal qualification,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Retired,NA,NA,NA,NA,NA,NA,Retired,NA,NA,240,480,2,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,Sev times a year,NA,NA,NA,NA,North East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Europe,White/European",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35000011,Brazil (BR),BR,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Work part-time,Work part-time,Work full-time,Work full-time,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,We pool all the money,"Always me,PL:the woman",About equal o both together,About equal o both together,About equal o both together,"Always me,PL:the woman","Always me,PL:the woman",40,10,I do much less than my fair share,Several times a week,"Mostly my spouse,partner","Sometimes me,sometimes spouse",Someone else,Spouse has higher income,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Several times a month,Several times a month,Several times a month,Several times a month,Very happy,Fairly dissatisfied,Fairly dissatisfied,No,Stayed home,Worked part-time,Worked part-time,Worked part-time,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Work part-time,3 persons,1 child,NA,4,3,No formal qualification,NA,Female,50,"Marr,liv as mar",NA,4,No formal qualification,NA,NA,NA,Incomplete primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employed-part time,25,5132,"Public owned firm,nat.ind",NA,"No,do n supervise",NA,"F-t empl,main job",Dairy and livestock producers,NA,420,600,4,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,2 or 3 times a month,NA,NA,NA,NA,North East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Europe,White/European",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35000015,Brazil (BR),BR,Strongly disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Stay at home,Stay at home,Stay at home,Stay at home,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I manage all the money,"Usually me,PL:the woman","Usually my spouse,partner,PL:the man","Usually me,PL:the woman","Usually me,PL:the woman","Usually me,PL:the woman","Usually me,PL:the woman",36,96,I do much less than my fair share,Never,"Sometimes me,sometimes spouse",We decide together,Mostly me,I have no income,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,NA,NA,NA,Very happy,NA,Fairly satisfied,"Yes, she worked for pay",Stayed home,Stayed home,Stayed home,Stayed home,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Work part-time,2 persons,2 children,NA,4,2,No formal qualification,44,Female,37,"Marr,liv as mar",NA,2,No formal qualification,NA,NA,NA,Incomplete primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Housewife,home duties",NA,NA,NA,NA,NA,NA,"F-t empl,main job",Bakers+confectionary makers,NA,NA,240,4,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,Once a week,NA,NA,NA,NA,North East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Country village,"Other,mixed origin,one-non-swedish",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35000017,Brazil (BR),BR,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Work part-time,Work part-time,Work part-time,Work full-time,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,We pool all the money,"Usually my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,About equal o both together,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",8,72,I do much less than my fair share,Never,Mostly me,Mostly me,"Sometimes me,sometimes spouse",I have much higher income,Agree,Strongly agree,Strongly agree,Strongly agree,Several times a month,Several times a month,Once or twice a year,Once or twice a year,Very happy,Very satisfied,Very satisfied,No,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Worked part-time,Worked part-time,Worked part-time,Worked part-time,Work part-time,3 persons,NA,NA,3,2,Lowest formal qualification,NA,Male,44,"Marr,liv as mar",NA,4,No formal qualification,NA,NA,NA,Incomplete primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employed-full time,72,1314,Self employed,NA,NA,NA,"F-t empl,main job",NA,NA,800,1500,3,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,Once a week,NA,NA,NA,NA,North East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Country village,"Other,mixed origin,one-non-swedish",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35000018,Brazil (BR),BR,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,NA,Strongly agree,Strongly agree,Strongly agree,NA,NA,Stay at home,Stay at home,Stay at home,Stay at home,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I manage all the money,"Usually my spouse,partner,PL:the man","Usually me,PL:the woman",About equal o both together,"Always me,PL:the woman","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",96,60,NA,Never,We decide together,We decide together,We decide together,Spouse has no income,NA,NA,NA,NA,Several times a month,Several times a month,Several times a month,NA,Fairly happy,Fairly satisfied,Fairly satisfied,"Yes, she worked for pay",Worked full-time,Worked full-time,Worked full-time,Worked full-time,Stayed home,Stayed home,Stayed home,Stayed home,Stay at home,3 persons,1 child,NA,4,3,No formal qualification,NA,Male,62,"Marr,liv as mar",NA,1,No formal qualification,NA,NA,NA,Incomplete primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Helpg family member,72,6111,NA,NA,"No,do n supervise",NA,"Housewife,home duties",NA,NA,120,120,4,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,Sev times a year,NA,NA,NA,NA,North East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Country village,"Other,mixed origin,one-non-swedish",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35000019,Brazil (BR),BR,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Work part-time,Work part-time,Work part-time,Work full-time,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,NA,Strongly agree,Strongly agree,Strongly agree,Each keep own money separate,"Usually me,PL:the woman","Usually my spouse,partner,PL:the man",NA,"Usually me,PL:the woman","Usually me,PL:the woman","Usually me,PL:the woman",70,96,NA,Never,"Mostly my spouse,partner","Mostly my spouse,partner","Mostly my spouse,partner",Spouse has no income,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Never,Never,Never,Never,Fairly happy,NA,Fairly satisfied,No,Worked part-time,Stayed home,Stayed home,Stayed home,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Work full-time,5 persons,1 child,2 children,8,5,No formal qualification,NA,Female,48,"Marr,liv as mar",NA,2,No formal qualification,NA,NA,NA,Incomplete primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F-t empl,main job",NA,NA,40,NA,8,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pentecostal,Protestant,Once a week,NA,NA,NA,NA,North East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Country village,"Other,mixed origin,one-non-swedish",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35000020,Brazil (BR),BR,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Work part-time,Work part-time,Work part-time,Work full-time,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,We pool all the money,Done by a third person,"Always my spouse,partner,PL:the man",About equal o both together,Done by a third person,Done by a third person,Done by a third person,10,96,I do much less than my fair share,Several times a year,"Mostly my spouse,partner",Mostly me,Mostly me,I have much higher income,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Several times a week,Never,Never,Never,Very happy,Fairly satisfied,Very satisfied,No,Stayed home,Worked part-time,Worked part-time,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Work full-time,4 persons,1 child,1 child,6,5,No formal qualification,NA,Female,52,"Marr,liv as mar",NA,2,No formal qualification,NA,NA,NA,Incomplete primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Employed-full time,72,5123,Work f government,NA,"No,do n supervise",NA,"F-t empl,main job",Field crop and vegetable growers,NA,480,700,6,NA,"No party,no preference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,Once a month,NA,NA,NA,NA,North East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Europe,White/European",NA,1
GESIS Data Archive Study Number,1.1.0 (2013-03-04),35000022,Brazil (BR),BR,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Work part-time,Work part-time,Work part-time,Work full-time,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Spouse,partner manages money","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",70,96,I do much more than my fair share,"Less often, rarely",Mostly me,"Mostly my spouse,partner","Mostly my spouse,partner",Spouse has higher income,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Never,Never,Never,Never,Very happy,NA,Fairly satisfied,No,Stayed home,Stayed home,Stayed home,Stayed home,Worked full-time,Worked full-time,Worked full-time,Worked full-time,Work full-time,2 persons,NA,1 child,3,1,No formal qualification,NA,Female,26,"Marr,liv as mar",NA,8,Lowest formal qualification,NA,NA,NA,Primary completed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oth,not i labour force",NA,NA,NA,NA,NA,NA,"F-t empl,main job",NA,NA,NA,480,3,NA,Far left etc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roman Catholic,Roman Catholic,Sev times a year,NA,NA,NA,NA,North East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban,a big city","Europe,White/European",NA,1
