identificador,país,mulher_casa_filhos,casa_realização,trab_homem_mulher,homem_domésticas,homem_cuidado,lavar_roupa,pequenos_reparos,doença_parentes,compras,limpeza,comida,horas_trab_dom,divisão_tar_dom,conflito_tar_dom,decisões_crianças,sobrecarga_tar_dom,stress_casa,cansaço_tar_dom,cansaço_dom_trab,concentração_trab,familia_satisfação,filhos_maiores,crianças_pequenas,idade,sexo,status_marital,anos_escolaridade,emprego_status,horas_trab,rendimento,renda_familiar,identidade_etnica
35000001,Brazil (BR),Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,"Always my spouse,partner,PL:the man","Usually me,PL:the woman",About equal o both together,"Always my spouse,partner,PL:the man",About equal o both together,"Always my spouse,partner,PL:the man",6,I do much less than my fair share,Never,We decide together,Disagree,Strongly agree,Several times a month,Never,Once or twice a year,Fairly satisfied,2 children,NA,60,Male,"Marr,liv as mar",97,Employed-full time,6,480,1000,"Other,mixed origin,one-non-swedish"
35000002,Brazil (BR),Strongly agree,Strongly agree,Agree,Disagree,Disagree,"Always me,PL:the woman","Usually my spouse,partner,PL:the man","Always me,PL:the woman","Always my spouse,partner,PL:the man","Always me,PL:the woman","Always me,PL:the woman",70,I do much more than my fair share,Never,"Sometimes me,sometimes spouse",Strongly agree,Strongly disagree,Never,Never,Never,Neither satisfied nor dissatisfied,2 children,1 child,41,Female,"Marr,liv as mar",11,"Housewife,home duties",NA,NA,240,"Other,mixed origin,one-non-swedish"
35000010,Brazil (BR),Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Done by a third person,"Always me,PL:the woman",About equal o both together,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",96,I do much less than my fair share,Never,NA,Strongly agree,Strongly agree,Never,Never,Never,Very satisfied,NA,NA,83,Male,"Marr,liv as mar",97,Retired,NA,240,480,"Europe,White/European"
35000011,Brazil (BR),Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Always me,PL:the woman",About equal o both together,About equal o both together,About equal o both together,"Always me,PL:the woman","Always me,PL:the woman",40,I do much less than my fair share,Several times a week,"Mostly my spouse,partner",Strongly agree,Strongly agree,Several times a month,Several times a month,Several times a month,Fairly dissatisfied,1 child,NA,50,Female,"Marr,liv as mar",4,Employed-part time,25,420,600,"Europe,White/European"
35000015,Brazil (BR),Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,"Usually me,PL:the woman","Usually my spouse,partner,PL:the man","Usually me,PL:the woman","Usually me,PL:the woman","Usually me,PL:the woman","Usually me,PL:the woman",36,I do much less than my fair share,Never,"Sometimes me,sometimes spouse",Strongly agree,Strongly agree,NA,NA,NA,Fairly satisfied,2 children,NA,37,Female,"Marr,liv as mar",2,"Housewife,home duties",NA,NA,240,"Other,mixed origin,one-non-swedish"
35000017,Brazil (BR),Strongly agree,Strongly agree,Disagree,Agree,Agree,"Usually my spouse,partner,PL:the man","Always me,PL:the woman",About equal o both together,About equal o both together,"Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",8,I do much less than my fair share,Never,Mostly me,Agree,Strongly agree,Several times a month,Once or twice a year,Once or twice a year,Very satisfied,NA,NA,44,Male,"Marr,liv as mar",4,Employed-full time,72,800,1500,"Other,mixed origin,one-non-swedish"
35000018,Brazil (BR),Strongly agree,NA,Strongly agree,NA,NA,"Usually my spouse,partner,PL:the man","Usually me,PL:the woman",About equal o both together,"Always me,PL:the woman","Usually my spouse,partner,PL:the man","Usually my spouse,partner,PL:the man",96,NA,Never,We decide together,NA,NA,Several times a month,Several times a month,NA,Fairly satisfied,1 child,NA,62,Male,"Marr,liv as mar",1,Helpg family member,72,120,120,"Other,mixed origin,one-non-swedish"
35000019,Brazil (BR),Disagree,Strongly disagree,Strongly agree,Agree,Agree,"Usually me,PL:the woman","Usually my spouse,partner,PL:the man",NA,"Usually me,PL:the woman","Usually me,PL:the woman","Usually me,PL:the woman",70,NA,Never,"Mostly my spouse,partner",Strongly agree,Strongly agree,Never,Never,Never,Fairly satisfied,1 child,2 children,48,Female,"Marr,liv as mar",2,NA,NA,40,NA,"Other,mixed origin,one-non-swedish"
35000020,Brazil (BR),Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Done by a third person,"Always my spouse,partner,PL:the man",About equal o both together,Done by a third person,Done by a third person,Done by a third person,10,I do much less than my fair share,Several times a year,"Mostly my spouse,partner",Strongly agree,Strongly disagree,Several times a week,Never,Never,Very satisfied,1 child,1 child,52,Female,"Marr,liv as mar",2,Employed-full time,72,480,700,"Europe,White/European"
35000022,Brazil (BR),Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,"Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman","Always me,PL:the woman",70,I do much more than my fair share,"Less often, rarely",Mostly me,Strongly agree,Strongly disagree,Never,Never,Never,Fairly satisfied,NA,1 child,26,Female,"Marr,liv as mar",8,"Oth,not i labour force",NA,NA,480,"Europe,White/European"
